trade_id,symbol,entry_date,entry_time,entry_price,exit_date,exit_time,exit_price,pnl,exit_reason,strategy,ema_9,ema_21,trend,atr,atr_pct,volume_ratio,range_location,consecutive_bullish,above_resistance,volume_ok,decision_summary,failure_analysis
1,ETHUSDT,2026-01-15,08:00:00,2250.50,2026-01-15,16:00:00,2315.75,172.80,TAKE_PROFIT,ETH,2150.25,2100.50,BULLISH,35.20,1.56%,0.85,45.2%,2,YES,YES,"2 bullish candles + broke resistance + EMA aligned","N/A - Winner"
2,ETHUSDT,2026-01-18,12:00:00,2280.25,2026-01-18,20:00:00,2245.50,-87.41,STOP_LOSS,ETH,2205.80,2180.25,BULLISH,38.50,1.69%,0.62,78.5%,3,YES,NO,"3 bullish candles + broke resistance + EMA aligned","Late entry (78.5% of range) + Low volume (0.62x)"
3,ETHUSDT,2026-01-22,04:00:00,2200.75,2026-01-22,14:00:00,2285.50,234.26,TAKE_PROFIT,ETH,2100.50,2085.75,MIXED,42.30,1.92%,1.15,25.3%,2,YES,YES,"2 bullish candles + broke resistance + volume confirmed","N/A - Winner"
4,ETHUSDT,2026-01-25,10:00:00,2300.50,2026-01-25,18:00:00,2265.25,-83.68,STOP_LOSS,ETH,2225.60,2200.80,BULLISH,36.80,1.60%,0.71,82.1%,2,YES,NO,"2 bullish candles + broke resistance + EMA aligned","Late entry (82.1% of range) + Low volume (0.71x)"
5,ETHUSDT,2026-01-28,06:00:00,2225.75,2026-01-28,16:00:00,2310.25,229.78,TAKE_PROFIT,ETH,2150.25,2125.50,MIXED,40.50,1.82%,1.08,35.7%,2,YES,YES,"2 bullish candles + broke resistance + volume confirmed","N/A - Winner"
6,ETHUSDT,2026-02-02,08:00:00,2350.25,2026-02-02,18:00:00,2425.50,202.72,TAKE_PROFIT,ETH,2280.50,2250.75,BULLISH,38.20,1.63%,0.92,55.4%,3,YES,YES,"3 bullish candles + broke resistance + EMA aligned + volume OK","N/A - Winner"
7,ETHUSDT,2026-02-07,14:00:00,2400.50,2026-02-07,22:00:00,2365.75,-84.45,STOP_LOSS,ETH,2064.70,2020.71,BULLISH,38.65,1.61%,0.48,234.0%,2,YES,NO,"2 bullish candles + broke resistance + EMA aligned","Late entry (234% of range - extreme) + Very low volume (0.48x)"
8,ETHUSDT,2026-02-13,02:00:00,2325.25,2026-02-13,12:00:00,2410.75,231.24,TAKE_PROFIT,ETH,1950.79,1956.69,MIXED,22.76,0.98%,1.27,410.8%,1,YES,YES,"Broke resistance + volume confirmed (1.27x)","N/A - Winner"
9,ETHUSDT,2026-02-13,16:00:00,2380.50,2026-02-13,22:00:00,2450.25,226.20,TAKE_PROFIT,ETH,1940.11,1947.74,MIXED,17.99,0.76%,1.30,487.8%,1,YES,YES,"Broke resistance + volume confirmed (1.30x)","N/A - Winner"
10,ETHUSDT,2026-02-14,08:00:00,2425.75,2026-02-14,14:00:00,2485.50,164.41,TAKE_PROFIT,ETH,2040.21,2007.42,BULLISH,22.09,0.91%,0.23,336.4%,2,YES,NO,"2 bullish candles + broke resistance + EMA aligned","Low volume (0.23x) but still worked - strong momentum"
1,BTCUSDT,2026-01-15,08:00:00,86450.25,2026-01-15,14:30:00,87200.50,37.85,TAKE_PROFIT,BTC,85800.50,85200.25,BULLISH,425.80,0.49%,0.88,42.5%,N/A,N/A,N/A,"Price in fib 0.618 zone + daily trend bullish","N/A - Winner"
2,BTCUSDT,2026-01-16,12:00:00,86800.75,2026-01-16,18:00:00,86150.25,-32.34,STOP_LOSS,BTC,86250.25,86000.50,BULLISH,412.30,0.47%,0.65,78.2%,N/A,N/A,N/A,"Price in fib 0.5 zone + daily trend bullish","Choppy market - price oscillated in range"
1,SOLUSDT,2026-01-16,10:00:00,98.50,2026-01-16,18:00:00,95.25,-99.60,STOP_LOSS,SOL,95.80,96.20,MIXED,2.85,2.89%,0.72,125.0%,YES,NO,NO,"EMA 12/26 crossover + EMA aligned","Late EMA crossover (trend already 12% established) + Counter-trend on 4h"
2,SOLUSDT,2026-01-20,14:00:00,102.75,2026-01-20,22:00:00,99.67,-95.89,STOP_LOSS,SOL,98.50,99.80,MIXED,3.15,3.07%,0.58,145.8%,YES,NO,NO,"EMA 12/26 crossover + EMA aligned","Very late entry (trend 15% established) + Low volume (0.58x)"
1,XRPUSDT,2026-01-17,08:00:00,2.4500,2026-01-17,16:00:00,2.3765,-75.50,STOP_LOSS,XRP,2.3800,2.4200,BEARISH,0.085,3.47%,0.45,65.0%,YES,NO,NO,"EMA 9/21 crossover","Counter-trend entry - daily trend was bearish"
2,XRPUSDT,2026-01-21,12:00:00,2.3800,2026-01-22,12:00:00,2.4520,77.48,TAKE_PROFIT,XRP,2.3500,2.3600,MIXED,0.078,3.28%,1.15,42.0%,YES,YES,YES,"EMA 9/21 crossover + volume confirmed","N/A - Winner"
